tvg_id,epg_id_matched,source,duplicate_sources
HallmarkFamily.us@SD,HallmarkFamily.us,epg-xdbezrvvbu.xml.gz,
HallmarkMystery.us@East,HallmarkMystery.us,epg-xdbezrvvbu.xml.gz,
HappyDays.us@SD,HappyDays.pluto,epg-xdbezrvvbu.xml.gz,
HauntTV.ca@SD,HauntTV.us,epg-xdbezrvvbu.xml.gz,
Heartland.us@Web,Heartland.pluto,epg-xdbezrvvbu.xml.gz,
History.us@West,History.ca,epg-xdbezrvvbu.xml.gz,
HistoryHit.uk@SD,HistoryHit.us,epg-xdbezrvvbu.xml.gz,
Homeful.ca@US,HOMEFUL.us,epg-xdbezrvvbu.xml.gz,
HomeMadeNation.us@SD,HomeMadeNation.us,epg-xdbezrvvbu.xml.gz,
HotBench.us@SD,HotBench.pluto,epg-xdbezrvvbu.xml.gz,
HSN.us@East,HSN.us,epg-xdbezrvvbu.xml.gz,
HSN2.us@SD,HSN2.us,epg-xdbezrvvbu.xml.gz,
IFC.us@East,IFC.us,epg-xdbezrvvbu.xml.gz,
ILoveLucy.us@SD,ILoveLucy.pluto,epg-xdbezrvvbu.xml.gz,
ImpactNetwork.us@SD,ImpactNetwork.us,epg-xdbezrvvbu.xml.gz,
ImpossibleQuizShow.us@SD,ImpossibleQuizShow.us,epg-xdbezrvvbu.xml.gz,
INFAST.nl@SD,INFAST.us,epg-xdbezrvvbu.xml.gz,
InfoWars.us@SD,InfoWars.us,epg-xdbezrvvbu.xml.gz,
InkMaster.us@SD,InkMaster.pluto,epg-xdbezrvvbu.xml.gz,
INSP.us@SD,INSP.us,epg-xdbezrvvbu.xml.gz,
Investiga.us@US,Investiga.pluto,epg-xdbezrvvbu.xml.gz,
IONPlus.us@East,IONPlus.us,epg-xdbezrvvbu.xml.gz,
IONTV.us@East,ionTV.uk,epg-xdbezrvvbu.xml.gz,
JBS.us@SD,JBS.us,epg-xdbezrvvbu.xml.gz,
JerseyShore.us@SD,JerseyShore.pluto,epg-xdbezrvvbu.xml.gz,
JohnnyCarsonTV.us@SD,JohnnyCarsonTV.us,epg-xdbezrvvbu.xml.gz,
Journy.us@SD,Journy.us,epg-xdbezrvvbu.xml.gz,
JudgeNosey.us@US,JudgeNosey.us,epg-xdbezrvvbu.xml.gz,
LacrosseTV.us@SD,LacrosseTV.us,epg-xdbezrvvbu.xml.gz,
Laff.us@SD,Laff.us,epg-xdbezrvvbu.xml.gz,
LEGOKidsTV.us@SD,LEGOKidsTV.pluto,epg-xdbezrvvbu.xml.gz,
Lifetime.us@East,Lifetime.ca,epg-xdbezrvvbu.xml.gz,
LifetimeRealWomen.us@SD,LifetimeRealWomen.us,epg-xdbezrvvbu.xml.gz,
LittleStarsUniverse.us@SD,LittleStarsUniverse.pluto,epg-xdbezrvvbu.xml.gz,
LiveMusic.us@SD,LiveMusic.pluto,epg-xdbezrvvbu.xml.gz,
LiveNOWfromFOX.us@SD,LiveNOWfromFOX.us,epg-xdbezrvvbu.xml.gz,
LIVExLIVE.us@SD,LiveXLive.us,epg-xdbezrvvbu.xml.gz,
Logo.us@East,Logo.us,epg-xdbezrvvbu.xml.gz,
LogoPlutoTV.us@SD,LogoPlutoTV.pluto,epg-xdbezrvvbu.xml.gz,
LuchaLibreAAA.us@SD,LuchaLibreAAA.pluto,epg-xdbezrvvbu.xml.gz,
MadeInHollywood.us@SD,MadeInHollywood.us,epg-xdbezrvvbu.xml.gz,
Matlock.us@SD,Matlock.pluto,epg-xdbezrvvbu.xml.gz,
MaverickBlackCinema.us@SD,MaverickBlackCinema.us,epg-xdbezrvvbu.xml.gz,
MediasetItalia.it@USA,MediaSetItalia.ca,epg-xdbezrvvbu.xml.gz,
MeritStreet.us@SD,MeritStreet.us,epg-xdbezrvvbu.xml.gz,
MeTV.us@SD,MeTV.us,epg-xdbezrvvbu.xml.gz,
MeTVToons.us@SD,MeTvToons.us,epg-xdbezrvvbu.xml.gz,
MidnightPulp.us@SD,MidnightPulp.us,epg-xdbezrvvbu.xml.gz,
MidsomerMurders.us@SD,MidsomerMurders.pluto,epg-xdbezrvvbu.xml.gz,
MissionImpossible.us@SD,MissionImpossible.pluto,epg-xdbezrvvbu.xml.gz,
Misteriossinresolver.us@SD,Misteriossinresolver.pluto,epg-xdbezrvvbu.xml.gz,
MLB.us@SD,MLB.pluto,epg-xdbezrvvbu.xml.gz,
MLBNetwork.us@SD,MLBNetwork.ca,epg-xdbezrvvbu.xml.gz,
MLBStrikeZone.us@SD,MLBStrikeZone.us,epg-xdbezrvvbu.xml.gz,
MoreTrueCrime.us@SD,MoreTrueCrime.pluto,epg-xdbezrvvbu.xml.gz,
MoreTVDrama.us@SD,MoreTVDrama.pluto,epg-xdbezrvvbu.xml.gz,
MoreTVSitcoms.us@SD,MoreTVSitcoms.pluto,epg-xdbezrvvbu.xml.gz,
Movies.us@SD,Movies.paramount+,epg-xdbezrvvbu.xml.gz,
MovieSphere.us@US,MovieSphere.au,epg-xdbezrvvbu.xml.gz,
MSG2.us@SD,MSG2.us,epg-xdbezrvvbu.xml.gz,
MSNOW.us@SD,MSNOW.sxm,epg-xdbezrvvbu.xml.gz,
MST3K.us@US,MST3K.pluto,epg-xdbezrvvbu.xml.gz,
MTV.us@East,MTV.de,epg-xdbezrvvbu.xml.gz,
MTV2.us@East,MTV2.us,epg-xdbezrvvbu.xml.gz,
MTVBiggestPop.us@US,MTVBiggestPop.pluto,epg-xdbezrvvbu.xml.gz,
MTVClassic.us@East,MTVClassic.us,epg-xdbezrvvbu.xml.gz,
MTVFlowLatino.us@SD,MTVFlowLatino.pluto,epg-xdbezrvvbu.xml.gz,
MTVLive.us@SD,MTVLive.de,epg-xdbezrvvbu.xml.gz,
MTVPlutoTV.us@US,MTVPlutoTV.pluto,epg-xdbezrvvbu.xml.gz,
MTVU.us@SD,mtvU.us,epg-xdbezrvvbu.xml.gz,
MysteryScienceTheater3000.us@SD,MysteryScienceTheater3000.us,epg-xdbezrvvbu.xml.gz,
Naruto.us@US,Naruto.pluto,epg-xdbezrvvbu.xml.gz,
NashBridges.us@SD,NashBridges.pluto,epg-xdbezrvvbu.xml.gz,
NationalGeographic.us@West,NationalGeographic.ca,epg-xdbezrvvbu.xml.gz,
NationalGeographicWild.us@East,NationalGeographicWild.ca,epg-xdbezrvvbu.xml.gz,
NBATV.us@SD,NBATV.ca,epg-xdbezrvvbu.xml.gz,
NBCNewsNOW.us@SD,NBCNEWSNOW.peacocktv,epg-xdbezrvvbu.xml.gz,
NBCSN.us@SD,NBCSN.us,epg-xdbezrvvbu.xml.gz,
NBCSportsNOW.us@SD,NBCSportsNOW.pluto,epg-xdbezrvvbu.xml.gz,
NESN.us@SD,NESN.us,epg-xdbezrvvbu.xml.gz,
News12Bronx.us@SD,News12Bronx.us,epg-xdbezrvvbu.xml.gz,
News12Brooklyn.us@SD,News12Brooklyn.us,epg-xdbezrvvbu.xml.gz,
News12HudsonValley.us@SD,News12HudsonValley.us,epg-xdbezrvvbu.xml.gz,
News12NewYork.us@SD,News12NewYork.pluto,epg-xdbezrvvbu.xml.gz,
News12Westchester.us@SD,News12Westchester.us,epg-xdbezrvvbu.xml.gz,
Newsmax2.us@SD,Newsmax2.us,epg-xdbezrvvbu.xml.gz,
NewsmaxTV.us@SD,NewsmaxTV.us,epg-xdbezrvvbu.xml.gz,
NewsNation.us@SD,NewsNation.in,epg-xdbezrvvbu.xml.gz,
NFLChannel.us@SD,NFLChannel.peacocktv,epg-xdbezrvvbu.xml.gz,
NFLNetwork.us@SD,NFLNetwork.ca,epg-xdbezrvvbu.xml.gz,
NHLNetwork.us@SD,NHLNetwork.us,epg-xdbezrvvbu.xml.gz,
NHRATV.us@SD,NHRATV.us,epg-xdbezrvvbu.xml.gz,
Nickelodeon.us@East,Nickelodeon.fr,epg-xdbezrvvbu.xml.gz,
NickelodeonPlutoTV.us@SD,NickelodeonPlutoTV.pluto,epg-xdbezrvvbu.xml.gz,
NickJr.us@East,NickJr.de,epg-xdbezrvvbu.xml.gz,
Nicktoons.us@East,Nicktoons.de,epg-xdbezrvvbu.xml.gz,
Nosey.us@US,Nosey.peacocktv,epg-xdbezrvvbu.xml.gz,
NOST.us@SD,NOST.us,epg-xdbezrvvbu.xml.gz,
NRBTV.us@SD,NRBTV.us,epg-xdbezrvvbu.xml.gz,
OANPlus.us@SD,OANPlus.us,epg-xdbezrvvbu.xml.gz,
OneAmericaNewsNetwork.us@SD,OneAmericaNewsNetwork.us,epg-xdbezrvvbu.xml.gz,
OnePiece.us@US,OnePiece.pluto,epg-xdbezrvvbu.xml.gz,
OutdoorAmerica.us@SD,OutdoorAmerica.us,epg-xdbezrvvbu.xml.gz,
OutdoorChannel.us@HD,OutdoorChannel.us,epg-xdbezrvvbu.xml.gz,
Oxygen.us@East,Oxygen.us,epg-xdbezrvvbu.xml.gz,
Pac12Insider.us@SD,Pac12Insider.us,epg-xdbezrvvbu.xml.gz,
ParamountMovieChannel.us@SD,ParamountMovieChannel.pluto,epg-xdbezrvvbu.xml.gz,
ParamountNetwork.us@East,ParamountNetwork.us,epg-xdbezrvvbu.xml.gz,
Pasiones.us@SD,Pasiones.us,epg-xdbezrvvbu.xml.gz,
PBRRidePass.us@SD,PBRRidePass.us,epg-xdbezrvvbu.xml.gz,
PBS.us@East,PBS.pr,epg-xdbezrvvbu.xml.gz,
PBSAntiquesRoadshow.us@SD,PBSAntiquesRoadshow.pluto,epg-xdbezrvvbu.xml.gz,
PBSKids.us@SD,PBSKids.pr,epg-xdbezrvvbu.xml.gz,
PBSNature.us@SD,PBSNature.pluto,epg-xdbezrvvbu.xml.gz,
PeopleAreAwesome.us@SD,PeopleAreAwesome.us,epg-xdbezrvvbu.xml.gz,
PeppaPig.us@SD,PeppaPig.pluto,epg-xdbezrvvbu.xml.gz,
PerryMason.us@SD,PerryMason.pluto,epg-xdbezrvvbu.xml.gz,
PGATour.us@SD,PGATOUR.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVAction.us@US,PlutoTVAction.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVAnime.us@US,PlutoTVAnime.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVAnimeMovies.us@SD,PlutoTVAnimeMovies.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVBackcountry.us@SD,PlutoTVBackcountry.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVCars.us@SD,PlutoTVCars.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVComedy.us@US,PlutoTVComedy.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVCompetition.us@SD,PlutoTVCompetition.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVCrimeDrama.us@SD,PlutoTVCrimeDrama.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVCrimeMovies.us@SD,PlutoTVCrimeMovies.pluto,epg-xdbezrvvbu.xml.gz,
PlutoTVCultFilms.us@US,PlutoTVCultFilms.pluto,epg-xdbezrvvbu.xml.gz,
