tvg_id,epg_id_matched,source,duplicate_sources
DisneyJunior.us@West,DisneyJunior.us@West,grabber-raw-guide.xml.gz,
DisneyXD.us@East,DisneyXD.us@East,grabber-raw-guide.xml.gz,
DisneyXD.us@West,DisneyXD.us@West,grabber-raw-guide.xml.gz,
DoctorWhoClassic.us@US,DoctorWhoClassic.us@US,grabber-raw-guide.xml.gz,
DocumentaryPlus.us@US,DocumentaryPlus.us@US,grabber-raw-guide.xml.gz,
DogtheBountyHunter.us@US,DogtheBountyHunter.us@US,grabber-raw-guide.xml.gz,
DogTV.us@SD,DogTV.us@SD,grabber-raw-guide.xml.gz,
DontTellTheBride.uk@SD,DontTellTheBride.uk@SD,grabber-raw-guide.xml.gz,
DoveChannel.us@SD,DoveChannel.us@SD,grabber-raw-guide.xml.gz,
DraftKingsNetwork.us@SD,DraftKingsNetwork.us@SD,grabber-raw-guide.xml.gz,
DryBarComedyPlus.us@SD,DryBarComedyPlus.us@SD,grabber-raw-guide.xml.gz,
DungeonTV.us@SD,DungeonTV.us@SD,grabber-raw-guide.xml.gz,
E.us@East,E.us@East,grabber-raw-guide.xml.gz,
E.us@West,E.us@West,grabber-raw-guide.xml.gz,
EbonyTVbyLionsgate.us@SD,EbonyTVbyLionsgate.us@SD,grabber-raw-guide.xml.gz,
EKeepingUp.us@SD,EKeepingUp.us@SD,grabber-raw-guide.xml.gz,
ElectricNow.us@SD,ElectricNow.us@SD,grabber-raw-guide.xml.gz,
EntertainmentTonight.us@SD,EntertainmentTonight.us@SD,grabber-raw-guide.xml.gz,
ESPNDeportes.us@SD,ESPNDeportes.us@SD,grabber-raw-guide.xml.gz,
ESPNews.us@SD,ESPNews.us@SD,grabber-raw-guide.xml.gz,
ESPNU.us@SD,ESPNU.us@SD,grabber-raw-guide.xml.gz,
EstrellaGames.us@SD,EstrellaGames.us@SD,grabber-raw-guide.xml.gz,
EstrellaNews.us@SD,EstrellaNews.us@SD,grabber-raw-guide.xml.gz,
EstrellaTV.us@SD,EstrellaTV.us@SD,grabber-raw-guide.xml.gz,
EWTN.us@English,EWTN.us@English,grabber-raw-guide.xml.gz,
F1Channel.ie@US,F1Channel.ie@US,grabber-raw-guide.xml.gz,
FailArmy.us@US,FailArmy.us@US,grabber-raw-guide.xml.gz,
FamilyTies.us@SD,FamilyTies.us@SD,grabber-raw-guide.xml.gz,
FanDuelRacing.us@SD,FanDuelRacing.us@SD,grabber-raw-guide.xml.gz,
FanDuelTV.us@SD,FanDuelTV.us@SD,grabber-raw-guide.xml.gz,
Farscape.us@SD,Farscape.us@SD,grabber-raw-guide.xml.gz,
FastTV.us@SD,FastTV.us@SD,grabber-raw-guide.xml.gz,
FearFactor.us@US,FearFactor.us@US,grabber-raw-guide.xml.gz,
FIFAPlus.uk@UnitedStates,FIFAPlus.uk@UnitedStates,grabber-raw-guide.xml.gz,
FilmRiseAnime.us@SD,FilmRiseAnime.us@SD,grabber-raw-guide.xml.gz,
FilmRiseClassicTV.us@SD,FilmRiseClassicTV.us@SD,grabber-raw-guide.xml.gz,
FilmRiseForensicFiles.us@SD,FilmRiseForensicFiles.us@SD,grabber-raw-guide.xml.gz,
FilmRiseWestern.us@SD,FilmRiseWestern.us@SD,grabber-raw-guide.xml.gz,
FlicksofFury.us@SD,FlicksofFury.us@SD,grabber-raw-guide.xml.gz,
Flix.us@East,Flix.us@East,grabber-raw-guide.xml.gz,
ForensicFiles.us@SD,ForensicFiles.us@SD,grabber-raw-guide.xml.gz,
ForeverKids.us@SD,ForeverKids.us@SD,grabber-raw-guide.xml.gz,
Fox.us@East,Fox.us@East,grabber-raw-guide.xml.gz,
Fox.us@West,Fox.us@West,grabber-raw-guide.xml.gz,
FoxBusinessNetwork.us@SD,FoxBusinessNetwork.us@SD,grabber-raw-guide.xml.gz,
FoxDeportes.us@SD,FoxDeportes.us@SD,grabber-raw-guide.xml.gz,
FoxNewsChannel.us@SD,FoxNewsChannel.us@SD,grabber-raw-guide.xml.gz,
FoxSoccerPlus.us@SD,FoxSoccerPlus.us@SD,grabber-raw-guide.xml.gz,
FoxSoul.us@SD,FoxSoul.us@SD,grabber-raw-guide.xml.gz,
FoxSports1.us@HD,FoxSports1.us@HD,grabber-raw-guide.xml.gz,
FoxSports2.us@HD,FoxSports2.us@HD,grabber-raw-guide.xml.gz,
FoxWeather.us@SD,FoxWeather.us@SD,grabber-raw-guide.xml.gz,
Freeform.us@East,Freeform.us@East,grabber-raw-guide.xml.gz,
FrightFlix.us@SD,FrightFlix.us@SD,grabber-raw-guide.xml.gz,
FTFSports.us@SD,FTFSports.us@SD,grabber-raw-guide.xml.gz,
FuboSportsNetwork.us@SD,FuboSportsNetwork.us@SD,grabber-raw-guide.xml.gz,
FunnyAF.us@SD,FunnyAF.us@SD,grabber-raw-guide.xml.gz,
Fuse.us@East,Fuse.us@East,grabber-raw-guide.xml.gz,
FX.us@East,FX.us@East,grabber-raw-guide.xml.gz,
FXM.us@East,FXM.us@East,grabber-raw-guide.xml.gz,
FXMovieChannel.us@SD,FXMovieChannel.us@SD,grabber-raw-guide.xml.gz,
FXX.us@East,FXX.us@East,grabber-raw-guide.xml.gz,
