tvg_id,epg_id_matched,source,duplicate_sources
BETCinema.us@SD,BETCinema.pluto,epg-xdbezrvvbu.xml.gz,
BETClassicsPlutoTV.us@SD,BETClassicsPlutoTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BETComedyMovies.us@SD,BETComedyMovies.pluto,epg-xdbezrvvbu.xml.gz,
BETGospel.us@SD,BETGospel.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BETHer.us@East,BETHer.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BETJams.us@SD,BETJams.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BETPlutoTV.us@US,BETPlutoTV.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BETSoul.us@SD,BETSoul.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BETThrowbacks.us@SD,BETThrowbacks.pluto,epg-xdbezrvvbu.xml.gz,
BETVisionaries.us@SD,BETVisionaries.pluto,epg-xdbezrvvbu.xml.gz,
BeverlyHillbillies.us@US,BeverlyHillbillies.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BeverlyHills90210.us@SD,BeverlyHills90210.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BeyondtheGates.us@SD,BeyondtheGates.pluto,epg-xdbezrvvbu.xml.gz,
BigBrother.us@SD,BigBrother.pluto,epg-xdbezrvvbu.xml.gz,
BigTenNetwork.us@SD,BigTenNetwork.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BilliardTV.us@SD,BilliardTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BlackFamilySitcoms.us@SD,BlackFamilySitcoms.pluto,epg-xdbezrvvbu.xml.gz,
BlackInkCrew.us@SD,BlackInkCrew.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BlazeLive.us@SD,BlazeLive.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BloombergOriginals.us@US,BloombergOriginals.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BloombergTV.us@LiveEvent,BloombergTV.us@LiveEvent,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BloombergTV.us@US,BloombergTV.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BlueBloods.us@SD,BlueBloods.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Bonanza.us@SD,Bonanza.pluto,epg-xdbezrvvbu.xml.gz,
bonappetit.us@SD,bonappetit.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Bounce.us@SD,Bounce.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BounceXL.us@SD,BounceXL.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BratTV.us@SD,BratTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Bravo.us@East,Bravo.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BritBoxMysteries.us@SD,BritBoxMysteries.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BusinessRockstars.us@SD,BusinessRockstars.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Buzzr.us@SD,Buzzr.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BYUTV.us@SD,BYUTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CampSpoopy.us@SD,CampSpoopy.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CarChase.us@SD,CarChase.us,epg-xdbezrvvbu.xml.gz,
CatchyComedy.us@SD,CatchyComedy.us,epg-xdbezrvvbu.xml.gz,
CatholicTV.us@SD,CatholicTV.us,epg-xdbezrvvbu.xml.gz,
CBNNews.us@SD,CBNNews.us,epg-xdbezrvvbu.xml.gz,
CBS.us@West,CBS.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CBSNews247.us@SD,CBSNews247.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CBSNewsBaltimore.us@SD,CBSNewsBaltimore.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsBayArea.us@SD,CBSNewsBayArea.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsBoston.us@SD,CBSNewsBoston.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsChicago.us@SD,CBSNewsChicago.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsColorado.us@SD,CBSNewsColorado.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsDetroit.us@SD,CBSNewsDetroit.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsLosAngeles.us@SD,CBSNewsLosAngeles.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsMiami.us@SD,CBSNewsMiami.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsMinnesota.us@SD,CBSNewsMinnesota.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsNewYork.us@SD,CBSNewsNewYork.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsPhilly.us@SD,CBSNewsPhilly.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CBSNewsPittsburgh.us@SD,CBSNewsPittsburgh.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSNewsSacramento.us@SD,CBSNewsSacramento.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
